x,Curve1
1.6024e-06,0.33485
2.5678e-06,0.31093
5.86e-06,0.31093
9.615e-06,0.32802
1.3694e-05,0.32118
5.008e-05,0.32118
6.339e-05,0.3246
8.216e-05,0.34852
9.691e-05,0.35194
0.00014813,0.33144
0.00018752,0.35535
0.00020126,0.35194
0.00030048,0.35194
0.0005168,0.3656
0.0006389,0.3861
0.0008088,0.40661
0.0007536,0.3861
0.0010239,0.39977
0.0011794,0.42369
0.0011519,0.44419
0.0014242,0.44761
0.0018459,0.44419
0.0021264,0.45786
0.002629,0.47153
0.0034074,0.54328
0.0036571,0.56378
0.0039252,0.5262
0.004416,0.56378
0.00629,0.6082
0.005087,0.58428
0.00586,0.63212
0.008749,0.57745
0.007777,0.65262
0.008749,0.69021
0.009615,0.71412
0.01134,0.72096
0.013063,0.71412
0.017334,0.75513
0.017334,0.84738
0.016151,0.84396
0.039561,0.92255
0.040505,0.99089
0.03686,0.9738
0.07303,1.10706
0.07133,1.1549
0.08412,1.18565
0.10401,1.20957
0.09029,1.20615
0.10649,1.26424
0.11163,1.32574
0.16666,1.42141
